Time,V,n,m,h
2.14,38.676064,0.51038355,0.9067081,0.3485898
2.15,40.98699,0.5093009,0.90435374,0.3453922
2.16,38.45878,0.51753855,0.91987574,0.34223285
2.17,40.312637,0.51944965,0.94217485,0.34094188
2.18,39.81657,0.5288257,0.95493126,0.33026132
2.19,37.380753,0.53986347,0.9361019,0.3271422
2.2,40.117928,0.5338176,0.93393403,0.32710484
2.21,40.375095,0.5350939,0.9401208,0.3123474
2.22,42.969467,0.5357635,0.9425356,0.3097304
2.23,38.41607,0.5542278,0.94344205,0.31970105
2.24,39.515945,0.5530866,0.9638659,0.31554347
2.25,41.97816,0.5534787,0.9497539,0.30880266
2.26,38.04928,0.5634853,0.9700689,0.3040901
2.27,37.176266,0.5684734,0.9634555,0.31023136
2.28,38.213154,0.5631308,0.99171114,0.30160785
2.29,36.049633,0.56256187,0.9728624,0.31114024
2.3,36.812126,0.57552296,0.97755224,0.28760287
2.31,37.698242,0.5720879,0.98949337,0.29788876
2.32,36.342987,0.5900707,0.9838494,0.29636428
2.33,36.417202,0.57945967,0.98982793,0.2852152
2.34,33.940567,0.5939111,0.9895639,0.2732211
2.35,35.379444,0.5957737,0.9689447,0.28162637
2.36,35.25308,0.59298646,0.96463597,0.2786257
2.37,35.17448,0.59910727,0.99466276,0.27306733
2.38,34.137543,0.5985379,0.9904665,0.27160683
2.39,33.107063,0.6040876,0.9823434,0.27439362
2.4,33.3555,0.611786,1.0,0.26971757
2.41,33.949875,0.60809225,0.98868,0.26503807
2.42,32.215992,0.61279917,0.9932904,0.26407754
2.43,32.487297,0.6157747,0.98256665,0.25196812
2.44,32.96836,0.6285184,0.98794705,0.25619826
2.45,30.501427,0.620436,0.96613556,0.2577267
2.46,30.325562,0.63230884,0.9911023,0.24482842
2.47,32.903225,0.6284188,0.9905503,0.26056415
2.48,28.630867,0.63719225,0.9957447,0.23606865
2.49,32.703564,0.6420281,0.98114234,0.24846697
2.5,30.256783,0.6281021,0.9871211,0.23898575
2.51,28.145216,0.6481741,1.0,0.24535145
2.52,25.95687,0.64817816,1.0,0.23003176
2.53,27.836748,0.6468807,0.99367607,0.23269872
2.54,26.718046,0.6500162,1.0,0.22423449
2.55,26.711805,0.65226495,1.0,0.23274668
2.56,26.529016,0.65623593,1.0,0.2296072
2.57,24.810692,0.6515979,1.0,0.22038111
2.58,25.141378,0.6536252,0.9886672,0.23459232
2.59,25.7303,0.66643053,0.97900236,0.2243125
2.6,25.166637,0.66093844,0.98695725,0.21376017
2.61,24.171957,0.6669796,0.9967791,0.2085448
2.62,20.750729,0.6737734,0.999597,0.2126445
2.63,20.905895,0.67183596,1.0,0.20990221
2.64,22.45406,0.67688584,0.9996564,0.21465333
2.65,21.823109,0.6731315,0.98924845,0.20784315
2.66,21.583311,0.6908915,0.9906509,0.20079447
2.67,21.028164,0.6868042,1.0,0.20354825
2.68,19.558027,0.680652,0.99579775,0.20632066
2.69,17.312153,0.69418395,0.9892154,0.20576198
2.7,20.514805,0.68952197,0.99920267,0.19613568
2.71,19.491428,0.68687934,1.0,0.20157506
2.72,20.316967,0.6880346,0.99941087,0.18867555
2.73,18.427322,0.6827355,0.9651123,0.19350119
2.74,15.083951,0.6922066,0.9857816,0.18601726
2.75,17.42965,0.6995926,0.9784235,0.1918212
2.76,13.7292385,0.69759125,0.9965959,0.19576328
2.77,13.884722,0.7005777,1.0,0.18841287
2.78,15.350773,0.6848448,1.0,0.1847359
2.79,13.006802,0.69350874,0.9992616,0.18516628
2.8,15.358642,0.7057287,0.9724419,0.18028696
2.81,13.21315,0.71454126,0.99149954,0.17534679
2.82,11.415187,0.70442915,0.9936584,0.18263716
2.83,15.182667,0.7074447,1.0,0.17899172
2.84,15.277584,0.7172373,0.9923053,0.17002419
2.85,10.609554,0.7114934,0.9885049,0.1666573
2.86,10.679136,0.7111585,0.9788032,0.16732913
2.87,9.472413,0.72230214,0.9953206,0.1692251
2.88,5.9706798,0.717906,1.0,0.16235779
2.89,11.205286,0.7217163,1.0,0.17504239
2.9,9.664197,0.72920185,1.0,0.15823452
2.91,10.313206,0.7168791,0.9762082,0.1543897
2.92,8.088868,0.7194333,0.9993817,0.16076459
2.93,7.789554,0.7295072,0.99692976,0.15361756
2.94,8.840327,0.7256449,1.0,0.15474024
2.95,8.266864,0.73374313,1.0,0.14935519
2.96,4.925255,0.7214845,1.0,0.14609191
2.97,3.8215196,0.73278874,0.959415,0.15599582
2.98,3.998343,0.7282108,0.98152465,0.15087567
2.99,2.2051947,0.73180336,0.9906737,0.14838131
3.0,5.043509,0.7377307,0.99112695,0.1504402
3.01,0.9238994,0.7401669,1.0,0.1368382
3.02,2.7919438,0.74494416,1.0,0.14508799
3.03,3.6036315,0.74003214,0.9818461,0.14862956
3.04,2.7632513,0.7395626,0.9968353,0.14301567
3.05,2.5587134,0.7404856,0.9825044,0.13449511
3.06,-0.6694189,0.74046385,0.9845647,0.13567531
3.07,4.0922704,0.7406566,1.0,0.13383552
3.08,-1.7473192,0.7395478,0.9982572,0.13952835
3.09,-0.61170363,0.74321324,0.9870062,0.13920468
3.1,-1.5623022,0.75249624,0.98984903,0.13718872
3.11,-2.450448,0.7383823,0.9935774,0.12288564
3.12,-3.3574727,0.7406464,0.9834946,0.12418352
3.13,-1.665689,0.75321716,0.9724378,0.12843496
3.14,-2.4459085,0.74278975,0.9831146,0.12994847
3.15,-3.7881246,0.7473168,0.98173296,0.11861902
3.16,-7.915185,0.7434083,1.0,0.12803978
3.17,-6.029851,0.7493994,0.9883601,0.12661706
3.18,-4.684721,0.75659233,0.99596465,0.11271592
3.19,-2.8063266,0.75156933,0.9853651,0.123923995
3.2,-7.7246246,0.76190984,0.99592894,0.11645571
3.21,-7.4385805,0.7530932,0.96250707,0.124103054
3.22,-7.236268,0.7552909,0.97635657,0.12462188
3.23,-5.8727837,0.7490478,0.98240304,0.1170969
3.24,-8.57747,0.7532547,0.9587617,0.11849661
3.25,-9.699206,0.7563113,1.0,0.11686094
3.26,-9.709069,0.7602677,0.9886589,0.1105483
3.27,-11.581756,0.7574374,0.97174627,0.11716481
3.28,-9.181984,0.7629129,0.9929912,0.12138822
3.29,-9.254069,0.75897527,0.9721859,0.11088702
3.3,-11.651886,0.75830555,0.98120254,0.107783124
3.31,-9.86198,0.759354,0.9779008,0.1085149
3.32,-10.128291,0.7574723,0.98222196,0.10813374
3.33,-13.52161,0.7636095,0.98343265,0.11129608
3.34,-15.451137,0.76333904,0.9608714,0.10594823
3.35,-13.388134,0.769259,0.9455259,0.09497671
3.36,-11.009413,0.760105,1.0,0.10275414
3.37,-15.02153,0.7617599,0.9394269,0.0994211
3.38,-15.0195,0.76952446,0.9551001,0.108823106
3.39,-14.84189,0.76731503,0.9416676,0.104342416
3.4,-16.265293,0.78066283,0.9483367,0.09943955
3.41,-15.255062,0.765431,0.9409902,0.10711756
3.42,-15.979958,0.76546836,0.9580247,0.10458217
3.43,-17.27604,0.7623994,0.9447357,0.10608437
3.44,-17.341663,0.75988203,0.95959,0.1068135
3.45,-18.30259,0.7658373,0.92569274,0.10241965
3.46,-19.399227,0.76265895,0.96778375,0.094117776
3.47,-18.254574,0.7756961,0.94234264,0.100564584
3.48,-18.997295,0.7620833,0.9567694,0.09722415
3.49,-20.778164,0.77026355,0.95555,0.09833746
3.5,-18.083591,0.7658164,0.9485907,0.08764243
3.51,-19.968964,0.76845586,0.9277816,0.098833956
3.52,-19.65474,0.75891674,0.9614778,0.10524683
3.53,-23.11331,0.77041996,0.9304468,0.09200768
3.54,-22.468355,0.7689129,0.94732976,0.09201257
3.55,-22.037102,0.7813498,0.9428605,0.09929842
3.56,-21.112913,0.77216756,0.932675,0.0736752
3.57,-19.861656,0.78064287,0.977477,0.09437504
3.58,-27.249271,0.76549923,0.93351567,0.08511513
3.59,-24.802217,0.764901,0.9736413,0.085952856
3.6,-24.74806,0.7679992,0.9387615,0.08545066
3.61,-24.630817,0.7685227,0.92131716,0.08546753
3.62,-28.341238,0.7621345,0.8886588,0.08837971
3.63,-27.496687,0.7706223,0.91966784,0.09245045
3.64,-25.922754,0.76781195,0.90401155,0.083506174
3.65,-25.598377,0.77210623,0.89782953,0.08661627
3.66,-26.769524,0.77251464,0.90839803,0.09158352
3.67,-24.178078,0.764379,0.8995017,0.07266385
3.68,-29.80797,0.76712734,0.88926494,0.0845402
3.69,-30.32125,0.7728143,0.90807414,0.082451195
3.7,-29.507475,0.76481366,0.89991933,0.09013164
3.71,-31.355425,0.76367325,0.89886576,0.08885936
3.72,-31.030823,0.7683729,0.9114389,0.08099211
3.73,-32.256527,0.7762575,0.8799698,0.08859387
3.74,-31.456358,0.76806897,0.89574707,0.0858448
3.75,-33.055424,0.7736702,0.8928377,0.08883473
3.76,-33.18551,0.7683332,0.8423321,0.07615383
3.77,-34.254353,0.764531,0.846353,0.07807436
3.78,-33.301598,0.7653452,0.9079524,0.06895241
3.79,-33.613014,0.76883423,0.8710203,0.084551424
3.8,-34.225716,0.7759543,0.8266881,0.083326675
3.81,-34.328003,0.7777488,0.84045845,0.07785224
3.82,-34.991814,0.7618878,0.8335039,0.07453885
3.83,-33.175606,0.77796704,0.8375089,0.0798958
3.84,-32.98635,0.7760095,0.85263675,0.084919006
3.85,-37.44141,0.7594968,0.82879233,0.08507227
3.86,-37.041157,0.7717419,0.81521297,0.071739644
3.87,-34.616486,0.77339756,0.82522786,0.08155648
3.88,-37.22567,0.76307756,0.8346545,0.078010485
3.89,-33.471905,0.7661821,0.85018426,0.074556455
3.9,-37.070107,0.7656183,0.8183295,0.075543895
3.91,-39.31411,0.772022,0.7844139,0.07632779
3.92,-37.820854,0.77418685,0.80380064,0.07392035
3.93,-40.27275,0.7678061,0.7896559,0.07959101
3.94,-37.055614,0.7740152,0.7786605,0.07837566
3.95,-41.172928,0.76648223,0.78003293,0.07874407
3.96,-39.649036,0.7749539,0.79901093,0.07227664
3.97,-42.386787,0.7621878,0.7712088,0.082096174
3.98,-42.633953,0.7669692,0.756285,0.0837779
3.99,-40.73572,0.7696484,0.7443041,0.07819733
4.0,-43.548824,0.7730833,0.7719908,0.06461542
4.01,-43.98049,0.7664388,0.7532233,0.08067231
4.02,-42.066296,0.75695467,0.7539067,0.07142513
4.03,-44.59631,0.75295067,0.71963495,0.08153347
